provider_code,provider_name,provider_postcode,site_code,site_name,site_postcode,establishment_ukprn,establishment_urn,establishment_name,establishment_postcode
G48,Gloucestershire Initial Teacher Education Partnership (GITEP),GL2 8EY,F,The Crypt School,GL2 5AE,10033257,136578,The Crypt School,GL2 5AE
G48,Gloucestershire Initial Teacher Education Partnership (GITEP),GL2 8EY,C,Thomas Keble School,GL6 7DY,10034776,137059,Thomas Keble School,GL6 7DY
G48,Gloucestershire Initial Teacher Education Partnership (GITEP),GL2 8EY,E,Wyedean School and Sixth Form Centre,NP16 7AA,10035107,137382,Wyedean School and Sixth Form Centre,NP16 7AA
1Z2,Wealden Partnership,TN21 8RJ,3,Heathfield Community College,TN21 8RJ,10002980,114587,Heathfield Community College,TN21 8RJ
1Z2,Wealden Partnership,TN21 8RJ,1,Uplands Community College,TN5 6AZ,10007173,114591,Uplands Community College,TN5 6AZ
2WB,The Aspirations Academies Trust,TW6 2TA,N,Park Academy West London,UB8 3GA,10065192,145121,Park Academy West London,UB8 3GA
2WB,The Aspirations Academies Trust,TW6 2TA,F,Rivers Academy West London,TW14 9PE,10034544,137009,Rivers Academy West London,TW14 9PE
S97,The Sheffield SCITT,S10 3BT,Q,Bradfield School,S35 0AE,10085445,147788,Bradfield School,S35 0AE
S97,The Sheffield SCITT,S10 3BT,F,Dobcroft Infant School,S7 2LN,10070908,107048,Dobcroft Infant School,S7 2LN
S97,The Sheffield SCITT,S10 3BT,H,Dore Primary School,S17 3QP,10069455,132152,Dore Primary School,S17 3QP
S97,The Sheffield SCITT,S10 3BT,V,Handsworth Grange Community Sports College,S13 9HJ,10047646,141495,Handsworth Grange Community Sports College,S13 9HJ
S97,The Sheffield SCITT,S10 3BT,M,High Storrs School,S11 7LH,10066973,145455,High Storrs School,S11 7LH
S97,The Sheffield SCITT,S10 3BT,W,Highgate Primary Academy,S63 9AS,10038683,138701,Highgate Primary Academy,S63 9AS
S97,The Sheffield SCITT,S10 3BT,3,Mundella Primary School,S8 8SJ,10077347,107006,Mundella Primary School,S8 8SJ
S97,The Sheffield SCITT,S10 3BT,T,Our Lady and St Joseph's Catholic Primary School,S63 7HG,10078680,106942,Our Lady and St Joseph's Catholic Primary School,S63 7HG
S97,The Sheffield SCITT,S10 3BT,9,Our Lady of Sorrows Catholic Voluntary Academy,DN3 2DB,10063707,144469,Our Lady of Sorrows Catholic Voluntary Academy,DN3 2DB
S97,The Sheffield SCITT,S10 3BT,I,Owler Brook Primary School,S4 8HQ,10085573,147622,Owler Brook Primary School,S4 8HQ
S97,The Sheffield SCITT,S10 3BT,P,Sheffield Park Academy,S2 1SN,10017528,131895,Sheffield Park Academy,S2 1SN
S97,The Sheffield SCITT,S10 3BT,N,St Bernard's Catholic High School,S65 3BE,10037583,138329,St Bernard's Catholic High School,S65 3BE
S97,The Sheffield SCITT,S10 3BT,2,St Patrick's Catholic Voluntary Academy,S5 0QF,10040495,139347,St Patrick's Catholic Voluntary Academy,S5 0QF
S97,The Sheffield SCITT,S10 3BT,C,St Wilfrid's Catholic Primary School,S7 2HE,10039030,138830,St Wilfrid's Catholic Primary School,S7 2HE
S97,The Sheffield SCITT,S10 3BT,R,Stocksbridge High School,S36 1FD,10066227,145274,Stocksbridge High School,S36 1FD
S97,The Sheffield SCITT,S10 3BT,L,Tapton School,S10 5RG,10035024,138069,Tapton School,S10 5RG
S97,The Sheffield SCITT,S10 3BT,S,Whiteways Primary School,S4 8EX,10085572,147621,Whiteways Primary School,S4 8EX
21C,Vita London,E17 9HJ,C,Coppermill Primary School,E17 6PB,10076582,103078,Coppermill Primary School,E17 6PB
2BH,SUPA SOUTHAMPTON,SO45 4ZF,E,University of Southampton,SO17 1BJ,10007158,133879,University of Southampton,SO17 1BJ
1XC,East London Teaching School Alliance,E7 8HU,C,Eastlea Community School,E16 4NP,10087070,148224,Eastlea Community School,E16 4NP
1XC,East London Teaching School Alliance,E7 8HU,P,Plashet School,E6 1DG,10017121,102782,Plashet School,E6 1DG
1XC,East London Teaching School Alliance,E7 8HU,E,University of East London,E16 2RD,10007144,133814,University of East London,E16 2RD
2BU,Arden Alliance,B93 0PT,4,Balsall Common Primary School,CV7 7FS,10038066,138536,Balsall Common Primary School,CV7 7FS
2BU,Arden Alliance,B93 0PT,6,Coppice Junior School,B92 9JY,10071490,104041,Coppice Junior School,B92 9JY
2BU,Arden Alliance,B93 0PT,1,Dorridge Primary School,B93 8EU,10068838,104045,Dorridge Primary School,B93 8EU
2BU,Arden Alliance,B93 0PT,B,Park Hall Academy,B36 9HF,10027835,135971,Park Hall Academy,B36 9HF
2BU,Arden Alliance,B93 0PT,5,Smith's Wood Primary Academy,B36 0SZ,10046175,140923,Smith's Wood Primary Academy,B36 0SZ
1AK,Waltham Forest Teaching School Alliance,E17 6ND,5,Frederick Bremer School,E17 4EY,10014964,103094,Frederick Bremer School,E17 4EY
1AK,Waltham Forest Teaching School Alliance,E17 6ND,9,Kelmscott School,E17 8DN,10016188,103105,Kelmscott School,E17 8DN
1AK,Waltham Forest Teaching School Alliance,E17 6ND,1,Walthamstow School for Girls,E17 9RZ,10015787,103103,Walthamstow School for Girls,E17 9RZ
19K,The Port Alliance,CH66 2NU,1,The Whitby High School,CH66 2NU,10006862,111429,The Whitby High School,CH66 2NU
19K,The Port Alliance,CH66 2NU,5,Whitby Heath Primary School,CH65 6RJ,10077822,111087,Whitby Heath Primary School,CH65 6RJ
19K,The Port Alliance,CH66 2NU,2,Woodlands primary School,CH66 2JT,10079952,135136,Woodlands Primary School,CH66 2JT
1FU,St John Bosco,L11 9DQ,K,Broughton Hall Catholic High School,L12 9HJ,10000955,104713,Broughton Hall Catholic High School,L12 9HJ
1FU,St John Bosco,L11 9DQ,F,Calderstones School,L18 3HS,10001095,104698,Calderstones School,L18 3HS
1FU,St John Bosco,L11 9DQ,J,Cardinal Heenan Catholic High School,L12 9HZ,10001160,104714,Cardinal Heenan Catholic High School,L12 9HZ
1FU,St John Bosco,L11 9DQ,R,Cowley International College,WA10 6PN,10001730,104829,Cowley International College,WA10 6PN
1FU,St John Bosco,L11 9DQ,N,Fazakerley High School,L10 1LB,10002425,104692,Fazakerley High School,L10 1LB
1FU,St John Bosco,L11 9DQ,H,King David High School,L15 6WU,10003618,104703,King David High School,L15 6WU
1FU,St John Bosco,L11 9DQ,B,Liverpool Hope University,L16 9JD,10003956,133826,Liverpool Hope University,L16 9JD
1FU,St John Bosco,L11 9DQ,I,Notre Dame Catholic College,L5 5AF,10004780,104706,Notre Dame Catholic College,L5 5AF
1FU,St John Bosco,L11 9DQ,A,Rainford High Technology College,WA11 8NY,10062645,144327,Rainford High Technology College,WA11 8NY
1FU,St John Bosco,L11 9DQ,U,St Edward's College,L12 1LF,10033594,136735,St Edward's College,L12 1LF
1FU,St John Bosco,L11 9DQ,S,The Academy of St Nicholas,L19 5NY,10030434,136119,The Academy of St Nicholas,L19 5NY
1FU,St John Bosco,L11 9DQ,L,The Belvedere Academy,L8 3TF,10021072,135174,The Belvedere Academy,L8 3TF
1FU,St John Bosco,L11 9DQ,E,West Derby School,L13 7HQ,10038680,138696,West Derby School,L13 7HQ
1Q5,Medway Valley Training Partnership,ME1 2UW,A,Allington Primary School,ME16 0PG,10039700,139096,Allington Primary School,ME16 0PG
1Q5,Medway Valley Training Partnership,ME1 2UW,Y,Barming Primary School,ME16 9DY,10056809,142924,Barming Primary School,ME16 9DY
1Q5,Medway Valley Training Partnership,ME1 2UW,N,Barnsole Primary School,ME7 2JG,10063725,144423,Barnsole Primary School,ME7 2JG
1Q5,Medway Valley Training Partnership,ME1 2UW,E,Brompton Academy,ME7 5HT,10030223,136107,Brompton Academy,ME7 5HT
1Q5,Medway Valley Training Partnership,ME1 2UW,3,Featherby Junior School,ME8 6BT,10065102,144969,Featherby Junior School,ME8 6BT
1Q5,Medway Valley Training Partnership,ME1 2UW,8,Featherby Junior School,ME8 6BT,10065102,144969,Featherby Junior School,ME8 6BT
1Q5,Medway Valley Training Partnership,ME1 2UW,G,Greenway Academy,RH12 2JS,10037887,138492,Greenway Academy,RH12 2JS
1Q5,Medway Valley Training Partnership,ME1 2UW,O,Oakwood Park Grammar School,ME16 8AH,10033587,136727,Oakwood Park Grammar School,ME16 8AH
1Q5,Medway Valley Training Partnership,ME1 2UW,Q,Palace Wood Primary School,ME16 0AB,10072360,135106,Palace Wood Primary School,ME16 0AB
1Q5,Medway Valley Training Partnership,ME1 2UW,J,St John Fisher Catholic Comprehensive School,ME4 6SG,10006189,118908,St John Fisher Catholic Comprehensive School,ME4 6SG
1Q5,Medway Valley Training Partnership,ME1 2UW,Z,West Borough Primary School,ME16 8TL,10076223,118568,West Borough Primary School,ME16 8TL
1QB,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",DH 7 0RD,L,Lingey House Primary School,NE10 8DN,10072214,108360,Lingey House Primary School,NE10 8DN
1QB,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",DH 7 0RD,S,St Leonard's Catholic School,DH1 4NG,10061772,143583,St Leonard's Catholic School,DH1 4NG
1QB,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",DH 7 0RD,T,Tanfield School,DH9 8AY,10085846,147894,Tanfield School,DH9 8AY
1QB,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",DH 7 0RD,E,Wolsingham School,DL13 3DJ,10086840,148109,Wolsingham School,DL13 3DJ
2EB,Shires Teaching School Alliance,B80 7QX,B,Alcester Academy,B49 6QQ,10034868,137172,Alcester Academy,B49 6QQ
2EB,Shires Teaching School Alliance,B80 7QX,G,Alcester Grammar School,B49 5ED,10033336,136622,Alcester Grammar School,B49 5ED
2EB,Shires Teaching School Alliance,B80 7QX,C,Henley in Arden School,B95 6AF,10034684,136991,Henley In Arden School,B95 6AF
2EB,Shires Teaching School Alliance,B80 7QX,D,Shipston High School,CV36 4DY,10038620,138767,Shipston High School,CV36 4DY
2EB,Shires Teaching School Alliance,B80 7QX,F,Stratford Girls' Grammar School,CV37 9HA,10034830,137235,Stratford Girls' Grammar School,CV37 9HA
2EB,Shires Teaching School Alliance,B80 7QX,E,Stratford upon Avon School,CV37 9DH,10034766,137236,Stratford Upon Avon School,CV37 9DH
2EB,Shires Teaching School Alliance,B80 7QX,-,Studley High School,B80 7QX,10033803,136786,Studley High School,B80 7QX
1LU,St Francis School,LN1 3TJ,M,Ambergate Sports College,NG31 7LP,10047150,141253,Ambergate Sports College,NG31 7LP
1LU,St Francis School,LN1 3TJ,E,Fortuna School,LN6 0FB,10081412,134229,Fortuna School,LN6 0FB
2CH,Academies Enterprise Trust: London,NW1 1BU,D,Bexleyheath Academy,DA6 7DA,10034964,137138,Bexleyheath Academy,DA6 7DA
2CH,Academies Enterprise Trust: London,NW1 1BU,B,Kingsley Academy,TW3 1AX,10040584,139276,Kingsley Academy,TW3 1AX
2CH,Academies Enterprise Trust: London,NW1 1BU,G,Sir Herbert Leon Academy,MK2 3HQ,10038395,138439,Sir Herbert Leon Academy,MK2 3HQ
2BO,Excalibur TSA,SN8 4AX,F,Fairfield High School,BS7 9NL,10048672,141705,Fairfield High School,BS7 9NL
2BO,Excalibur TSA,SN8 4AX,-,St John's Marlborough,SN8 4AX,10038597,138623,St John's Marlborough,SN8 4AX
M70,Endeavour Learning SCITT,PR4 6AQ,Y,Burscough Priory Academy,L40 7RZ,10080948,146282,Burscough Priory Academy,L40 7RZ
M70,Endeavour Learning SCITT,PR4 6AQ,G,Golborne High School,WA3 3EL,10015405,106525,Golborne High School,WA3 3EL
M70,Endeavour Learning SCITT,PR4 6AQ,-,Tarleton Academy,PR4 6AQ,10035983,137768,Tarleton Academy,PR4 6AQ
2CF,Academies Enterprise Trust: South East,NW1 1BU,K,Winton Community Academy,SP10 2PS,10039417,138920,Winton Community Academy,SP10 2PS
272,Park Junior School,NN8 4PH,2,Redwell Primary School,NN8 5LQ,10074797,121949,Redwell Primary School,NN8 5LQ
6N8,Nene Park Academy,CB24 4RS,5,Nene Park Academy,PE2 7EA,10034976,137082,Nene Park Academy,PE2 7EA
6N8,Nene Park Academy,CB24 4RS,6,The Ferrers School,NN10 8LF,10042617,139988,The Ferrers School,NN10 8LF
22S,Grey Court Teaching School Alliance,TW10 7HN,G,Grey Court School,tw10 7hn,10039056,138825,Grey Court School,TW10 7HN
2B4,GLF Schools' Teacher Training,KT17 1NB,P,Trafalgar School,PO2 9RJ,10049037,141875,Trafalgar School,PO2 9RJ
2JY,Shanidar - West Yorkshire,BD5 9ET,7,Girlington Primary School,BD8 9NR,10077341,107293,Girlington Primary School,BD8 9NR
2JY,Shanidar - West Yorkshire,BD5 9ET,C,Swain House Primary School,BD2 1JL,10077343,107220,Swain House Primary School,BD2 1JL
1YS,Scarborough Teaching Alliance,YO12 6TH,-,Childhaven Community Nursery School,YO11 1UB,,121267,Childhaven Community Nursery School,YO11 1UB
1YS,Scarborough Teaching Alliance,YO12 6TH,S,Scalby School,YO12 6TH,10057639,143288,Scalby School,YO12 6TH
1YS,Scarborough Teaching Alliance,YO12 6TH,H,University of Hull,HU6 7RX,10007149,133824,University of Hull,HU6 7RX
1XV,Hampton Hargate Primary School,PE7 8BZ,B,Bishop Grosseteste University,LN1 3DY,10007811,133835,Bishop Grosseteste University,LN1 3DY
1XV,Hampton Hargate Primary School,PE7 8BZ,N,Hampton Hargate Primary School,PE7 8BZ,10074201,132763,Hampton Hargate Primary School,PE7 8BZ
1KY,Inspire and Bosco Sussex,RH15 8GA,G,Aldingbourne Primary School,PO20 3QR,10071174,125816,Aldingbourne Primary School,PO20 3QR
1KY,Inspire and Bosco Sussex,RH15 8GA,5,Annecy Catholic Primary School,BN25 4LF,10082246,146786,Annecy Catholic Primary School,BN25 4LF
1KY,Inspire and Bosco Sussex,RH15 8GA,A,Ardingly College,RH17 6SQ,10014955,126133,Ardingly College,RH17 6SQ
1KY,Inspire and Bosco Sussex,RH15 8GA,D,Downlands Community School,BN6 8LP,10015265,126087,Downlands Community School,BN6 8LP
1KY,Inspire and Bosco Sussex,RH15 8GA,V,Felpham Community College ,PO22 8EL,10002436,126080,Felpham Community College,PO22 8EL
1KY,Inspire and Bosco Sussex,RH15 8GA,4,Hurstpierpoint College,BN6 9JS,10016106,126136,Hurstpierpoint College,BN6 9JS
1KY,Inspire and Bosco Sussex,RH15 8GA,8,Sackville School,RH19 3TY,10005610,126089,Sackville School,RH19 3TY
1KY,Inspire and Bosco Sussex,RH15 8GA,H,St John's Catholic Primary School,RH12 1RR,10076037,126039,St John's Catholic Primary School,RH12 1RR
1KY,Inspire and Bosco Sussex,RH15 8GA,J,St Joseph's Catholic Primary School,RH16 3PQ,10086781,147937,St Joseph's Catholic Primary School,RH16 3PQ
1KY,Inspire and Bosco Sussex,RH15 8GA,M,St Mary's Catholic Primary School,PO21 1DJ,10076039,126037,St Mary's Catholic Primary School,PO21 1DJ
1KY,Inspire and Bosco Sussex,RH15 8GA,P,St Paul's Catholic College,RH15 8GA,10006244,126101,St Paul's Catholic College,RH15 8GA
1KY,Inspire and Bosco Sussex,RH15 8GA,E,St Peter's Catholic Primary School,RH19 1JB,10076030,126060,St Peter's Catholic Primary School,RH19 1JB
1KY,Inspire and Bosco Sussex,RH15 8GA,3,Warden Park Primary Academy,RH16 3JR,10035562,137211,Warden Park Primary Academy,RH16 3JR
1KY,Inspire and Bosco Sussex,RH15 8GA,W,Westdene Primary School,BN1 5GN,10070820,114380,Westdene Primary School,BN1 5GN
1TM,Lincoln Christ's Hospital School,LN2 4PN,F,Franklin College,DN34 5BY,10002570,130586,Franklin College,DN34 5BY
1TM,Lincoln Christ's Hospital School,LN2 4PN,T,The Thomas Cowley High School,PE11 4TF,10038651,138755,The Thomas Cowley High School,PE11 4TF
1GH,Lawrence Sheriff School,CV21 3AG,A,Alcester Grammar School,B49 5ED,10033336,136622,Alcester Grammar School,B49 5ED
1GH,Lawrence Sheriff School,CV21 3AG,9,Brooke School,CV22 6DY,10066212,145200,Brooke School,CV22 6DY
1GH,Lawrence Sheriff School,CV21 3AG,J,Camp Hill Primary School,CV10 9QA,10073634,132059,Camp Hill Primary School,CV10 9QA
1GH,Lawrence Sheriff School,CV21 3AG,I,Coundon Court,CV6 2AJ,10037002,138023,Coundon Court,CV6 2AJ
1GH,Lawrence Sheriff School,CV21 3AG,Q,Goodyers End Primary School,CV12 0HP,10075575,130897,Goodyers End Primary School,CV12 0HP
1GH,Lawrence Sheriff School,CV21 3AG,-,Lawrence Sheriff School,CV21 3AG,10047140,141277,Lawrence Sheriff School,CV21 3AG
1GH,Lawrence Sheriff School,CV21 3AG,T,Lutterworth High School,LE17 4QH,10034546,137115,Lutterworth High School,LE17 4QH
1GH,Lawrence Sheriff School,CV21 3AG,W,Moat House Primary School,CV2 1EQ,10073573,133474,Moat House Primary School,CV2 1EQ
1GH,Lawrence Sheriff School,CV21 3AG,Z,North Leamington School,CV32 6RD,10053518,142202,North Leamington School,CV32 6RD
1GH,Lawrence Sheriff School,CV21 3AG,S,Stockton Primary School,CV47 8JE,10062317,143497,Stockton Primary School,CV47 8JE
1GH,Lawrence Sheriff School,CV21 3AG,U,The Priors School,CV47 7RR,10035235,137488,The Priors School,CV47 7RR
2AG,Kaizen Teaching School Alliance,TN9 2JP,K,Amherst School,TN13 2AX,10033038,136499,Amherst School,TN13 2AX
2AG,Kaizen Teaching School Alliance,TN9 2JP,1,Borough Green Primary School,TN15 8JZ,10069648,118847,Borough Green Primary School,TN15 8JZ
2AG,Kaizen Teaching School Alliance,TN9 2JP,O,Dunton Green Primary School,TN13 2UR,10069525,118272,Dunton Green Primary School,TN13 2UR
2AG,Kaizen Teaching School Alliance,TN9 2JP,L,Four Elms Primary School,TN8 6NE,10069524,118275,Four Elms Primary School,TN8 6NE
2AG,Kaizen Teaching School Alliance,TN9 2JP,4,Hadlow Rural Community School,TN11 0AU,10041646,139697,Hadlow Rural Community School,TN11 0AU
2AG,Kaizen Teaching School Alliance,TN9 2JP,W,Kemsing Primary School,TN15 6PU,10069522,118277,Kemsing Primary School,TN15 6PU
2AG,Kaizen Teaching School Alliance,TN9 2JP,8,Kent College Pembury,TN2 4AX,10008307,118946,Kent College Pembury,TN2 4AX
2AG,Kaizen Teaching School Alliance,TN9 2JP,T,Leigh Primary School,TN11 8QP,10073359,118278,Leigh Primary School,TN11 8QP
2AG,Kaizen Teaching School Alliance,TN9 2JP,3,Maidstone Grammar School for Girls,ME16 0SF,10004157,118836,Maidstone Grammar School for Girls,ME16 0SF
2AG,Kaizen Teaching School Alliance,TN9 2JP,P,Otford Primary School,TN14 5PG,10069521,118279,Otford Primary School,TN14 5PG
2AG,Kaizen Teaching School Alliance,TN9 2JP,6,Plaxtol Primary School,TN15 0QD,10073346,118309,Plaxtol Primary School,TN15 0QD
2AG,Kaizen Teaching School Alliance,TN9 2JP,X,Riverhead Infants' School,TN13 2AS,10080749,118453,Riverhead Infants' School,TN13 2AS
2AG,Kaizen Teaching School Alliance,TN9 2JP,9,Sevenoaks Primary School,TN13 3LB,10073310,118551,Sevenoaks Primary School,TN13 3LB
2AG,Kaizen Teaching School Alliance,TN9 2JP,M,Shoreham Village School,TN14 7SN,10073357,118284,Shoreham Village School,TN14 7SN
2AG,Kaizen Teaching School Alliance,TN9 2JP,Z,The Anthony Roper Primary School,DA4 0AA,10069650,118255,The Anthony Roper Primary School,DA4 0AA
2AG,Kaizen Teaching School Alliance,TN9 2JP,D,The Judd School,TN9 2PN,10006720,118843,The Judd School,TN9 2PN
2AG,Kaizen Teaching School Alliance,TN9 2JP,E,The Malling School,ME19 6DH,10006748,118897,The Malling School,ME19 6DH
2AG,Kaizen Teaching School Alliance,TN9 2JP,H,The Skinners' School,TN4 9PG,10044808,140595,The Skinners' School,TN4 9PG
2AG,Kaizen Teaching School Alliance,TN9 2JP,B,Tonbridge Grammar School,TN9 2JR,10032608,136417,Tonbridge Grammar School,TN9 2JR
2AG,Kaizen Teaching School Alliance,TN9 2JP,G,Tunbridge Wells Girls' Grammar School,TN4 9UJ,10007075,118789,Tunbridge Wells Girls' Grammar School,TN4 9UJ
2AG,Kaizen Teaching School Alliance,TN9 2JP,F,Tunbridge Wells Grammar School for Boys,TN4 9XB,10007076,118790,Tunbridge Wells Grammar School for Boys,TN4 9XB
2AG,Kaizen Teaching School Alliance,TN9 2JP,7,Weald Community Primary School,TN14 6PY,10069519,118283,Weald Community Primary School,TN14 6PY
2AG,Kaizen Teaching School Alliance,TN9 2JP,-,Weald of Kent Grammar School,TN9 2JP,10032960,136455,Weald of Kent Grammar School,TN9 2JP
2AG,Kaizen Teaching School Alliance,TN9 2JP,2,Woodlands Primary School,TN10 4BB,10058897,142834,Woodlands Primary School,TN10 4BB
1DA,Whitburn Village Primary Partnership,SR6 7NS,C,Coxhoe Primary School,DH6 4EJ,10072165,114080,Coxhoe Primary School,DH6 4EJ
1DA,Whitburn Village Primary Partnership,SR6 7NS,G,Gibside School,NE16 5AT,10078190,131213,Gibside School,NE16 5AT
1DA,Whitburn Village Primary Partnership,SR6 7NS,H,Holley Park Academy,NE38 0LR,10038164,138534,Holley Park Academy,NE38 0LR
1DA,Whitburn Village Primary Partnership,SR6 7NS,N,Newsham Primary School,NE24 4NX,10072491,122261,Newsham Primary School,NE24 4NX
1DA,Whitburn Village Primary Partnership,SR6 7NS,B,The Blyth Academy,NE24 4JP,10042701,140002,The Blyth Academy,NE24 4JP
192,Lordship Lane Primary School,N22 5PS,L,Lordship Lane Primary School,N22 5PS,10075239,131595,Lordship Lane Primary School,N22 5PS
1NO,Lytham St Annes Technology And Performing Arts College,FY8 4DG,3,St Bede's Catholic High School,FY8 4JL,10017580,119788,St Bede's Catholic High School,FY8 4JL
1DS,John Donne Primary School,SE15 2SW,A,Adamsrill Primary School,SE26 4AQ,10072921,100671,Adamsrill Primary School,SE26 4AQ
1DS,John Donne Primary School,SE15 2SW,F,Albion Primary School,SE16 7JD,10074622,100774,Albion Primary School,SE16 7JD
1DS,John Donne Primary School,SE15 2SW,N,Alfred Salter Primary School,SE16 7LP,10072913,100819,Alfred Salter Primary School,SE16 7LP
1DS,John Donne Primary School,SE15 2SW,C,Camelot Primary School,SE15 1QP,10072916,100780,Camelot Primary School,SE15 1QP
1DS,John Donne Primary School,SE15 2SW,Q,Charles Dickens Primary School,SE1 1AF,10086305,148012,Charles Dickens Primary School,SE1 1AF
1DS,John Donne Primary School,SE15 2SW,V,Childeric Primary School,SE14 6DG,10068493,146221,Childeric Primary School,SE14 6DG
1DS,John Donne Primary School,SE15 2SW,D,Dulwich Hamlet Junior School,SE21 7AL,10033381,136665,Dulwich Hamlet Junior School,SE21 7AL
1DS,John Donne Primary School,SE15 2SW,W,Dulwich Village Church of England Infants' School,SE21 7AL,10079612,100823,Dulwich Village Church of England Infants' School,SE21 7AL
1DS,John Donne Primary School,SE15 2SW,G,Grange Primary School,SE1 4RP,10074615,100791,Grange Primary School,SE1 4RP
1DS,John Donne Primary School,SE15 2SW,H,Haymerle School,SE15 6SY,10077049,100878,Haymerle School,SE15 6SY
1DS,John Donne Primary School,SE15 2SW,X,Heber Primary School,SE22 9LA,10074614,100793,Heber Primary School,SE22 9LA
1DS,John Donne Primary School,SE15 2SW,Y,Kender Primary School,SE14 5JA,10074635,100691,Kender Primary School,SE14 5JA
1DS,John Donne Primary School,SE15 2SW,K,Kensington Avenue Primary School,CR7 8BT,10082351,146724,Kensington Avenue Primary School,CR7 8BT
1DS,John Donne Primary School,SE15 2SW,Z,Oliver Goldsmith Primary School,SE5 8UH,10074599,100821,Oliver Goldsmith Primary School,SE5 8UH
1DS,John Donne Primary School,SE15 2SW,1,Pakeman Primary School,N7 6DU,10043227,100418,Pakeman Primary School,N7 6DU
1DS,John Donne Primary School,SE15 2SW,E,Preston Park Primary School,HA9 8RJ,10071277,101510,Preston Park Primary School,HA9 8RJ
1DS,John Donne Primary School,SE15 2SW,R,Robert Browning Primary School,SE17 1DQ,10074607,100809,Robert Browning Primary School,SE17 1DQ
1DS,John Donne Primary School,SE15 2SW,T,The Belham Primary School,SE15 4DG,10053512,142090,The Belham Primary School,SE15 4DG
1DS,John Donne Primary School,SE15 2SW,6,Torridon Primary School,SE6 1TG,10071958,100708,Torridon Primary School,SE6 1TG
13D,Ladywood School Direct,BL31NG,B,Edge Hill University,L39 4QP,10007823,133828,Edge Hill University,L39 4QP
1TK,West Country Teaching School Alliance,EX15 3AG,K,Blundell's School,Ex16 4DN,10000779,113575,Blundell's School,EX16 4DN
1TK,West Country Teaching School Alliance,EX15 3AG,I,Chulmleigh Community College,Ex18 7AA,10034532,137024,Chulmleigh Community College,EX18 7AA
1TK,West Country Teaching School Alliance,EX15 3AG,G,Chulmleigh Primary School,EX18 7AA,10035730,137023,Chulmleigh Primary School,EX18 7AA
1TK,West Country Teaching School Alliance,EX15 3AG,H,Holway Park Community Primary School,TA1 2JA,10071216,123739,Holway Park Community Primary School,TA1 2JA
1TK,West Country Teaching School Alliance,EX15 3AG,B,The Castle School,TA1 5AU,10034180,136916,The Castle School,TA1 5AU
1F2,Aston Manor Academy,B6 4PZ,C,Chilwell Croft Academy,B19 2QH,10038364,138395,Chilwell Croft Academy,B19 2QH
2C3,Tykes TSA,S75 3SP,8,Horizon Community College ,S70 6PD,10083490,146455,Horizon Community College,S70 6PD
17X,West Cumbria and North Lakes School Direct,CA13 9HF,B,Beacon Hill Community School,CA7 3EZ,10014963,112375,Beacon Hill Community School,CA7 3EZ
17X,West Cumbria and North Lakes School Direct,CA13 9HF,1,Cockermouth School,CA13 9HF,10053913,142306,Cockermouth School,CA13 9HF
17X,West Cumbria and North Lakes School Direct,CA13 9HF,K,Keswick School,CA12 5QB,10034174,136902,Keswick School,CA12 5QB
17X,West Cumbria and North Lakes School Direct,CA13 9HF,N,Netherhall School,CA15 6NT,10004561,112382,Netherhall School,CA15 6NT
17X,West Cumbria and North Lakes School Direct,CA13 9HF,5,Solway Community School,CA7 4DD,10017792,112377,Solway Community School,CA7 4DD
17X,West Cumbria and North Lakes School Direct,CA13 9HF,P,St Patrick's Catholic Primary School,CA25 5DG,10074194,132835,St Patrick's Catholic Primary School,CA25 5DG
17X,West Cumbria and North Lakes School Direct,CA13 9HF,8,Ullswater Community College,CA11 8NG,10007126,112393,Ullswater Community College,CA11 8NG
1SD,Park Community School,PO9 4BU,R,Crookhorn College,PO7 5UD,10015184,116428,Crookhorn College,PO7 5UD
1SD,Park Community School,PO9 4BU,H,Horndean Technology College,PO8 9PQ,10003151,116437,Horndean Technology College,PO8 9PQ
1SD,Park Community School,PO9 4BU,P,Park Community School,PO9 4BU,10016462,116473,Park Community School,PO9 4BU
1SD,Park Community School,PO9 4BU,U,Purbrook Park School,PO7 5DS,10017269,116506,Purbrook Park School,PO7 5DS
1SD,Park Community School,PO9 4BU,W,Warblington School,PO9 2RR,10015895,116475,Warblington School,PO9 2RR
1FL,Cambridge & Suffolk Schools Alliance (CASSA),CB21 4JB,B,Bassingbourn Primary School,SG8 5NP,10074547,110602,Bassingbourn Primary School,SG8 5NP
1FL,Cambridge & Suffolk Schools Alliance (CASSA),CB21 4JB,M,Bottisham Village College,CB25 9DL,10033390,136677,Bottisham Village College,CB25 9DL
1FL,Cambridge & Suffolk Schools Alliance (CASSA),CB21 4JB,W,Comberton Village College,CB23 7DU,10032979,136463,Comberton Village College,CB23 7DU
1FL,Cambridge & Suffolk Schools Alliance (CASSA),CB21 4JB,L,Long Road Sixth Form College,CB2 8PX,10004088,130616,Long Road Sixth Form College,CB2 8PX
1FL,Cambridge & Suffolk Schools Alliance (CASSA),CB21 4JB,P,Place Farm Primary Academy,CB9 8HF,10037464,138161,Place Farm Primary Academy,CB9 8HF
